Picture Path,Label,width,height
./Multi-class Weather Dataset/Cloudy/cloudy218.jpg,Nuageux,250,152
./Multi-class Weather Dataset/Cloudy/cloudy219.jpg,Nuageux,201,151
./Multi-class Weather Dataset/Cloudy/cloudy22.jpg,Nuageux,720,476
./Multi-class Weather Dataset/Cloudy/cloudy220.jpg,Nuageux,272,153
./Multi-class Weather Dataset/Cloudy/cloudy221.jpg,Nuageux,332,175
./Multi-class Weather Dataset/Cloudy/cloudy222.jpg,Nuageux,265,166
./Multi-class Weather Dataset/Cloudy/cloudy223.jpg,Nuageux,256,160
./Multi-class Weather Dataset/Cloudy/cloudy224.jpg,Nuageux,241,151
./Multi-class Weather Dataset/Cloudy/cloudy225.jpg,Nuageux,208,167
./Multi-class Weather Dataset/Cloudy/cloudy226.jpg,Nuageux,231,174
./Multi-class Weather Dataset/Cloudy/cloudy227.jpg,Nuageux,236,177
./Multi-class Weather Dataset/Cloudy/cloudy228.jpg,Nuageux,285,171
./Multi-class Weather Dataset/Cloudy/cloudy229.jpg,Nuageux,237,178
./Multi-class Weather Dataset/Cloudy/cloudy23.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy230.jpg,Nuageux,282,159
./Multi-class Weather Dataset/Cloudy/cloudy231.jpg,Nuageux,268,179
./Multi-class Weather Dataset/Cloudy/cloudy232.jpg,Nuageux,305,172
./Multi-class Weather Dataset/Cloudy/cloudy233.jpg,Nuageux,247,165
./Multi-class Weather Dataset/Cloudy/cloudy234.jpg,Nuageux,260,174
./Multi-class Weather Dataset/Cloudy/cloudy235.jpg,Nuageux,268,178
./Multi-class Weather Dataset/Cloudy/cloudy236.jpg,Nuageux,241,181
./Multi-class Weather Dataset/Cloudy/cloudy237.jpg,Nuageux,247,252
./Multi-class Weather Dataset/Cloudy/cloudy238.jpg,Nuageux,247,165
./Multi-class Weather Dataset/Cloudy/cloudy239.jpg,Nuageux,297,167
./Multi-class Weather Dataset/Cloudy/cloudy24.jpg,Nuageux,284,177
./Multi-class Weather Dataset/Cloudy/cloudy240.jpg,Nuageux,300,138
./Multi-class Weather Dataset/Cloudy/cloudy241.jpg,Nuageux,300,157
./Multi-class Weather Dataset/Cloudy/cloudy242.jpg,Nuageux,231,174
./Multi-class Weather Dataset/Cloudy/cloudy243.jpg,Nuageux,238,179
./Multi-class Weather Dataset/Cloudy/cloudy244.jpg,Nuageux,312,176
./Multi-class Weather Dataset/Cloudy/cloudy245.jpg,Nuageux,258,166
./Multi-class Weather Dataset/Cloudy/cloudy246.jpg,Nuageux,223,168
./Multi-class Weather Dataset/Cloudy/cloudy247.jpg,Nuageux,301,181
./Multi-class Weather Dataset/Cloudy/cloudy248.jpg,Nuageux,267,178
./Multi-class Weather Dataset/Cloudy/cloudy249.jpg,Nuageux,284,160
./Multi-class Weather Dataset/Cloudy/cloudy25.jpg,Nuageux,300,168
./Multi-class Weather Dataset/Cloudy/cloudy250.jpg,Nuageux,241,160
./Multi-class Weather Dataset/Cloudy/cloudy251.jpg,Nuageux,205,154
./Multi-class Weather Dataset/Cloudy/cloudy252.jpg,Nuageux,236,177
./Multi-class Weather Dataset/Cloudy/cloudy253.jpg,Nuageux,258,171
./Multi-class Weather Dataset/Cloudy/cloudy254.jpg,Nuageux,300,300
./Multi-class Weather Dataset/Cloudy/cloudy255.jpg,Nuageux,270,180
./Multi-class Weather Dataset/Cloudy/cloudy256.jpg,Nuageux,263,168
./Multi-class Weather Dataset/Cloudy/cloudy257.jpg,Nuageux,225,300
./Multi-class Weather Dataset/Cloudy/cloudy258.jpg,Nuageux,258,169
./Multi-class Weather Dataset/Cloudy/cloudy259.jpg,Nuageux,211,159
./Multi-class Weather Dataset/Cloudy/cloudy26.jpg,Nuageux,317,159
./Multi-class Weather Dataset/Cloudy/cloudy260.jpg,Nuageux,226,151
./Multi-class Weather Dataset/Cloudy/cloudy261.jpg,Nuageux,206,152
./Multi-class Weather Dataset/Cloudy/cloudy262.jpg,Nuageux,206,155
./Multi-class Weather Dataset/Cloudy/cloudy263.jpg,Nuageux,203,163
./Multi-class Weather Dataset/Cloudy/cloudy264.jpg,Nuageux,268,168
./Multi-class Weather Dataset/Cloudy/cloudy265.jpg,Nuageux,300,138
./Multi-class Weather Dataset/Cloudy/cloudy266.jpg,Nuageux,252,168
./Multi-class Weather Dataset/Cloudy/cloudy267.jpg,Nuageux,239,160
./Multi-class Weather Dataset/Cloudy/cloudy268.jpg,Nuageux,300,300
./Multi-class Weather Dataset/Cloudy/cloudy269.jpg,Nuageux,201,151
./Multi-class Weather Dataset/Cloudy/cloudy27.jpg,Nuageux,1024,682
./Multi-class Weather Dataset/Cloudy/cloudy270.jpg,Nuageux,238,158
./Multi-class Weather Dataset/Cloudy/cloudy271.jpg,Nuageux,205,154
./Multi-class Weather Dataset/Cloudy/cloudy272.jpg,Nuageux,227,171
./Multi-class Weather Dataset/Cloudy/cloudy273.jpg,Nuageux,317,167
./Multi-class Weather Dataset/Cloudy/cloudy274.jpg,Nuageux,221,166
./Multi-class Weather Dataset/Cloudy/cloudy275.jpg,Nuageux,213,160
./Multi-class Weather Dataset/Cloudy/cloudy276.jpg,Nuageux,227,151
./Multi-class Weather Dataset/Cloudy/cloudy277.jpg,Nuageux,201,151
./Multi-class Weather Dataset/Cloudy/cloudy278.jpg,Nuageux,272,182
./Multi-class Weather Dataset/Cloudy/cloudy279.jpg,Nuageux,256,160
./Multi-class Weather Dataset/Cloudy/cloudy28.jpg,Nuageux,768,508
./Multi-class Weather Dataset/Cloudy/cloudy280.jpg,Nuageux,241,177
./Multi-class Weather Dataset/Cloudy/cloudy281.jpg,Nuageux,209,155
./Multi-class Weather Dataset/Cloudy/cloudy282.jpg,Nuageux,236,177
./Multi-class Weather Dataset/Cloudy/cloudy283.jpg,Nuageux,228,171
./Multi-class Weather Dataset/Cloudy/cloudy284.jpg,Nuageux,323,170
./Multi-class Weather Dataset/Cloudy/cloudy285.jpg,Nuageux,267,167
./Multi-class Weather Dataset/Cloudy/cloudy286.jpg,Nuageux,229,173
./Multi-class Weather Dataset/Cloudy/cloudy287.jpg,Nuageux,278,157
./Multi-class Weather Dataset/Cloudy/cloudy288.jpg,Nuageux,219,151
./Multi-class Weather Dataset/Cloudy/cloudy289.jpg,Nuageux,254,170
./Multi-class Weather Dataset/Cloudy/cloudy29.jpg,Nuageux,274,184
./Multi-class Weather Dataset/Cloudy/cloudy290.jpg,Nuageux,298,185
./Multi-class Weather Dataset/Cloudy/cloudy291.jpg,Nuageux,236,177
./Multi-class Weather Dataset/Cloudy/cloudy292.jpg,Nuageux,254,170
./Multi-class Weather Dataset/Cloudy/cloudy293.jpg,Nuageux,226,151
./Multi-class Weather Dataset/Cloudy/cloudy294.jpg,Nuageux,235,157
./Multi-class Weather Dataset/Cloudy/cloudy295.jpg,Nuageux,281,159
./Multi-class Weather Dataset/Cloudy/cloudy296.jpg,Nuageux,251,167
./Multi-class Weather Dataset/Cloudy/cloudy297.jpg,Nuageux,270,178
./Multi-class Weather Dataset/Cloudy/cloudy298.jpg,Nuageux,249,166
./Multi-class Weather Dataset/Cloudy/cloudy299.jpg,Nuageux,267,178
./Multi-class Weather Dataset/Cloudy/cloudy3.jpg,Nuageux,326,155
./Multi-class Weather Dataset/Cloudy/cloudy30.jpg,Nuageux,550,412
./Multi-class Weather Dataset/Cloudy/cloudy300.jpg,Nuageux,300,149
./Multi-class Weather Dataset/Cloudy/cloudy31.jpg,Nuageux,800,600
./Multi-class Weather Dataset/Cloudy/cloudy32.jpg,Nuageux,255,198
./Multi-class Weather Dataset/Cloudy/cloudy33.jpg,Nuageux,468,351
./Multi-class Weather Dataset/Cloudy/cloudy34.jpg,Nuageux,550,412
./Multi-class Weather Dataset/Cloudy/cloudy35.jpg,Nuageux,615,409
./Multi-class Weather Dataset/Cloudy/cloudy36.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy37.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy38.jpg,Nuageux,768,508
./Multi-class Weather Dataset/Cloudy/cloudy39.jpg,Nuageux,1024,682
./Multi-class Weather Dataset/Cloudy/cloudy4.jpg,Nuageux,800,600
./Multi-class Weather Dataset/Cloudy/cloudy40.jpg,Nuageux,183,275
./Multi-class Weather Dataset/Cloudy/cloudy41.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy42.jpg,Nuageux,260,194
./Multi-class Weather Dataset/Cloudy/cloudy43.jpg,Nuageux,260,194
./Multi-class Weather Dataset/Cloudy/cloudy44.jpg,Nuageux,225,225
./Multi-class Weather Dataset/Cloudy/cloudy45.jpg,Nuageux,260,194
./Multi-class Weather Dataset/Cloudy/cloudy46.jpg,Nuageux,194,259
./Multi-class Weather Dataset/Cloudy/cloudy47.jpg,Nuageux,700,438
./Multi-class Weather Dataset/Cloudy/cloudy48.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy49.jpg,Nuageux,300,168
./Multi-class Weather Dataset/Cloudy/cloudy5.jpg,Nuageux,255,198
./Multi-class Weather Dataset/Cloudy/cloudy50.jpg,Nuageux,273,185
./Multi-class Weather Dataset/Cloudy/cloudy51.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy52.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy53.jpg,Nuageux,250,201
./Multi-class Weather Dataset/Cloudy/cloudy54.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy55.jpg,Nuageux,1600,971
./Multi-class Weather Dataset/Cloudy/cloudy56.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy57.jpg,Nuageux,700,421
./Multi-class Weather Dataset/Cloudy/cloudy58.jpg,Nuageux,500,333
./Multi-class Weather Dataset/Cloudy/cloudy59.jpg,Nuageux,275,183
./Multi-class Weather Dataset/Cloudy/cloudy6.jpg,Nuageux,874,664
./Multi-class Weather Dataset/Cloudy/cloudy60.jpg,Nuageux,1077,1600
./Multi-class Weather Dataset/Cloudy/cloudy61.jpg,Nuageux,272,185
./Multi-class Weather Dataset/Cloudy/cloudy62.jpg,Nuageux,500,309
./Multi-class Weather Dataset/Cloudy/cloudy63.jpg,Nuageux,275,183
./Multi-class Weather Dataset/Cloudy/cloudy64.jpg,Nuageux,480,360
./Multi-class Weather Dataset/Cloudy/cloudy65.jpg,Nuageux,267,189
./Multi-class Weather Dataset/Cloudy/cloudy66.jpg,Nuageux,640,453
./Multi-class Weather Dataset/Cloudy/cloudy67.jpg,Nuageux,224,224
./Multi-class Weather Dataset/Cloudy/cloudy68.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy69.jpg,Nuageux,225,225
./Multi-class Weather Dataset/Cloudy/cloudy7.jpg,Nuageux,640,480
./Multi-class Weather Dataset/Cloudy/cloudy70.jpg,Nuageux,800,540
./Multi-class Weather Dataset/Cloudy/cloudy71.jpg,Nuageux,600,254
./Multi-class Weather Dataset/Cloudy/cloudy72.jpg,Nuageux,800,500
./Multi-class Weather Dataset/Cloudy/cloudy73.jpg,Nuageux,225,225
./Multi-class Weather Dataset/Cloudy/cloudy74.jpg,Nuageux,275,183
./Multi-class Weather Dataset/Cloudy/cloudy75.jpg,Nuageux,900,676
./Multi-class Weather Dataset/Cloudy/cloudy76.jpg,Nuageux,183,275
./Multi-class Weather Dataset/Cloudy/cloudy77.jpg,Nuageux,900,675
./Multi-class Weather Dataset/Cloudy/cloudy78.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy79.jpg,Nuageux,275,183
./Multi-class Weather Dataset/Cloudy/cloudy8.jpg,Nuageux,1024,576
./Multi-class Weather Dataset/Cloudy/cloudy80.jpg,Nuageux,350,200
./Multi-class Weather Dataset/Cloudy/cloudy81.jpg,Nuageux,275,183
./Multi-class Weather Dataset/Cloudy/cloudy82.jpg,Nuageux,1600,1067
./Multi-class Weather Dataset/Cloudy/cloudy83.jpg,Nuageux,852,480
./Multi-class Weather Dataset/Cloudy/cloudy84.jpg,Nuageux,852,480
./Multi-class Weather Dataset/Cloudy/cloudy85.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy86.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy87.jpg,Nuageux,299,168
./Multi-class Weather Dataset/Cloudy/cloudy88.jpg,Nuageux,299,168
./Multi-class Weather Dataset/Cloudy/cloudy89.jpg,Nuageux,852,480
./Multi-class Weather Dataset/Cloudy/cloudy9.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy90.jpg,Nuageux,852,480
./Multi-class Weather Dataset/Cloudy/cloudy91.jpg,Nuageux,273,185
./Multi-class Weather Dataset/Cloudy/cloudy92.jpg,Nuageux,299,168
./Multi-class Weather Dataset/Cloudy/cloudy93.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy94.jpg,Nuageux,500,329
./Multi-class Weather Dataset/Cloudy/cloudy95.jpg,Nuageux,1024,576
./Multi-class Weather Dataset/Cloudy/cloudy96.jpg,Nuageux,299,168
./Multi-class Weather Dataset/Cloudy/cloudy97.jpg,Nuageux,318,159
./Multi-class Weather Dataset/Cloudy/cloudy98.jpg,Nuageux,301,167
./Multi-class Weather Dataset/Cloudy/cloudy99.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Rain/rain1.jpg,Pluvieux,360,270
./Multi-class Weather Dataset/Rain/rain10.jpg,Pluvieux,660,400
./Multi-class Weather Dataset/Rain/rain100.jpg,Pluvieux,2059,1158
./Multi-class Weather Dataset/Rain/rain101.jpg,Pluvieux,600,443
./Multi-class Weather Dataset/Rain/rain102.jpg,Pluvieux,183,275
./Multi-class Weather Dataset/Rain/rain103.jpg,Pluvieux,300,168
./Multi-class Weather Dataset/Rain/rain104.jpg,Pluvieux,650,510
./Multi-class Weather Dataset/Rain/rain105.jpg,Pluvieux,259,194
./Multi-class Weather Dataset/Rain/rain106.jpg,Pluvieux,666,338
./Multi-class Weather Dataset/Rain/rain107.jpg,Pluvieux,580,370
./Multi-class Weather Dataset/Rain/rain108.jpg,Pluvieux,620,376
./Multi-class Weather Dataset/Rain/rain109.jpg,Pluvieux,640,480
./Multi-class Weather Dataset/Rain/rain11.jpg,Pluvieux,759,422
./Multi-class Weather Dataset/Rain/rain110.jpg,Pluvieux,674,441
./Multi-class Weather Dataset/Rain/rain111.jpg,Pluvieux,283,178
./Multi-class Weather Dataset/Rain/rain112.jpg,Pluvieux,284,177
./Multi-class Weather Dataset/Rain/rain113.jpg,Pluvieux,1024,683
./Multi-class Weather Dataset/Rain/rain114.jpg,Pluvieux,275,183
./Multi-class Weather Dataset/Rain/rain115.jpg,Pluvieux,370,305
./Multi-class Weather Dataset/Rain/rain116.jpg,Pluvieux,1023,742
./Multi-class Weather Dataset/Rain/rain117.jpg,Pluvieux,1024,622
./Multi-class Weather Dataset/Rain/rain118.jpg,Pluvieux,960,540
./Multi-class Weather Dataset/Rain/rain119.jpg,Pluvieux,350,200
./Multi-class Weather Dataset/Rain/rain12.jpg,Pluvieux,268,188
./Multi-class Weather Dataset/Rain/rain120.jpg,Pluvieux,268,188
./Multi-class Weather Dataset/Rain/rain121.jpg,Pluvieux,183,275
./Multi-class Weather Dataset/Rain/rain122.jpg,Pluvieux,620,376
./Multi-class Weather Dataset/Rain/rain123.jpg,Pluvieux,680,455
./Multi-class Weather Dataset/Rain/rain124.jpg,Pluvieux,759,422
./Multi-class Weather Dataset/Rain/rain125.jpg,Pluvieux,400,300
./Multi-class Weather Dataset/Rain/rain126.jpg,Pluvieux,595,335
./Multi-class Weather Dataset/Rain/rain127.jpg,Pluvieux,292,173
./Multi-class Weather Dataset/Rain/rain128.jpg,Pluvieux,280,210
./Multi-class Weather Dataset/Rain/rain129.jpg,Pluvieux,700,415
./Multi-class Weather Dataset/Rain/rain13.jpg,Pluvieux,1024,626
./Multi-class Weather Dataset/Rain/rain130.jpg,Pluvieux,600,300
./Multi-class Weather Dataset/Rain/rain131.jpg,Pluvieux,275,183
./Multi-class Weather Dataset/Rain/rain132.jpg,Pluvieux,550,383
./Multi-class Weather Dataset/Rain/rain133.jpg,Pluvieux,800,542
./Multi-class Weather Dataset/Rain/rain134.jpg,Pluvieux,275,183
./Multi-class Weather Dataset/Rain/rain135.jpg,Pluvieux,620,413
./Multi-class Weather Dataset/Rain/rain136.jpg,Pluvieux,590,329
./Multi-class Weather Dataset/Rain/rain137.jpg,Pluvieux,3000,1997
./Multi-class Weather Dataset/Rain/rain138.jpg,Pluvieux,320,180
./Multi-class Weather Dataset/Rain/rain139.jpg,Pluvieux,480,360
./Multi-class Weather Dataset/Rain/rain14.jpg,Pluvieux,500,400
./Multi-class Weather Dataset/Rain/rain140.jpg,Pluvieux,275,183
./Multi-class Weather Dataset/Rain/rain141.jpg,Pluvieux,384,288
./Multi-class Weather Dataset/Rain/rain142.jpg,Pluvieux,640,420
./Multi-class Weather Dataset/Rain/rain143.jpg,Pluvieux,604,272
./Multi-class Weather Dataset/Rain/rain144.jpg,Pluvieux,1600,1200
./Multi-class Weather Dataset/Rain/rain145.jpg,Pluvieux,188,194
