Picture Path,Label,width,height,Luminance,RGB,LBP
./Multi-class Weather Dataset/Cloudy/cloudy169.jpg,Nuageux,206,155,0.21255176571073922,"[113.28843111503059, 112.02344461197087, 120.38347480228721]","[332, 1651, 1633, 12740, 48960, 34839, 7081, 3999, 5488, 1915]"
./Multi-class Weather Dataset/Sunrise/sunrise139.jpg,Lever du soleil,350,263,0.20152172414981337,"[217.30044846902973, 149.20233023725535, 48.967565066631266]","[754, 4053, 1842, 11774, 29089, 34185, 8362, 6966, 15187, 6426]"
./Multi-class Weather Dataset/Cloudy/cloudy202.jpg,Nuageux,290,174,0.20184933251620843,"[138.73606646373844, 137.72520401478658, 142.9080182137574]","[461, 2024, 1891, 14830, 41603, 32463, 8066, 5391, 9113, 2796]"
./Multi-class Weather Dataset/Shine/shine52.jpg,Ensoleillé,284,177,0.19241130293112296,"[128.53012275261722, 158.74876357069405, 190.18525153065417]","[1293, 4291, 3503, 15467, 30526, 30282, 8002, 7027, 12761, 5486]"
./Multi-class Weather Dataset/Rain/rain163.jpg,Pluvieux,460,288,0.21941978210000865,"[134.83804511281167, 142.49715234710843, 142.24375068485645]","[6528, 9150, 7387, 13931, 19395, 17797, 9933, 9666, 10475, 14376]"
./Multi-class Weather Dataset/Sunrise/sunrise197.jpg,Lever du soleil,1920,1281,0.12116094866988304,"[73.60288177059627, 53.6488132491276, 58.376817371963455]","[7624, 10208, 2345, 6890, 8400, 11711, 6572, 12571, 28704, 23613]"
./Multi-class Weather Dataset/Cloudy/cloudy189.jpg,Nuageux,255,170,0.10347450522382085,"[76.33143292252483, 86.5897936698718, 62.557611277320504]","[698, 3222, 2236, 12897, 30547, 39815, 8247, 6487, 10520, 3969]"
./Multi-class Weather Dataset/Shine/shine105.jpg,Ensoleillé,644,402,0.22902002100881713,"[131.76819597746928, 182.16925542406312, 221.8093683621605]","[2000, 6885, 3551, 11641, 21872, 31304, 9520, 8303, 14573, 8989]"
./Multi-class Weather Dataset/Sunrise/sunrise29.jpg,Lever du soleil,4752,3168,0.20942615250020458,"[59.41394693047337, 54.99975157490644, 47.30572960128711]","[11838, 10654, 5079, 7461, 8088, 9913, 7435, 12218, 20772, 25180]"
./Multi-class Weather Dataset/Sunrise/sunrise200.jpg,Lever du soleil,275,183,0.21397237075672085,"[135.2705007828436, 121.62385892378497, 122.42138447156476]","[598, 3230, 1286, 10349, 23200, 45783, 6883, 7484, 15798, 4027]"
./Multi-class Weather Dataset/Cloudy/cloudy234.jpg,Nuageux,260,174,0.2110067833844494,"[151.83501096823952, 152.66311265677945, 159.843056780395]","[598, 2786, 1943, 13148, 34223, 36997, 8707, 6833, 10026, 3377]"
./Multi-class Weather Dataset/Rain/rain43.jpg,Pluvieux,450,300,0.17294753941687982,"[125.18979729829397, 122.24284489634434, 118.40016412848328]","[2865, 5872, 7206, 21180, 32484, 19311, 9954, 6695, 5402, 7669]"
./Multi-class Weather Dataset/Rain/rain214.jpg,Pluvieux,299,168,0.15946143111155298,"[116.84619921789393, 88.99420189989716, 88.30311107897553]","[1254, 4991, 4667, 16710, 39298, 27035, 9297, 5800, 4456, 5130]"
./Multi-class Weather Dataset/Sunrise/sunrise148.jpg,Lever du soleil,284,177,0.15992073138059074,"[66.07757718068831, 67.0841921367416, 67.72876148188186]","[579, 2270, 1435, 12723, 17730, 31768, 5502, 8147, 35367, 3117]"
./Multi-class Weather Dataset/Shine/shine2.jpg,Ensoleillé,300,168,0.24077993179370694,"[121.67453329666718, 139.59333434481363, 191.13705479062358]","[742, 3400, 1604, 15646, 26063, 32547, 10443, 11103, 13603, 3487]"
./Multi-class Weather Dataset/Sunrise/sunrise38.jpg,Lever du soleil,273,185,0.1270335258233772,"[100.20225556156122, 65.60085321260894, 108.96817946189248]","[337, 2534, 735, 12756, 19071, 37092, 8076, 9316, 24981, 3740]"
./Multi-class Weather Dataset/Shine/shine140.jpg,Ensoleillé,1200,680,0.12581099296388565,"[124.47176429032014, 155.1375033386752, 206.523528111777]","[786, 1912, 1560, 7254, 6607, 24901, 4863, 3956, 63367, 3432]"
./Multi-class Weather Dataset/Sunrise/sunrise24.jpg,Lever du soleil,292,173,0.18859629642095452,"[107.2766806574938, 110.99604189187907, 105.09928508888383]","[1379, 5623, 3854, 14276, 36180, 28468, 7867, 6846, 8550, 5595]"
./Multi-class Weather Dataset/Sunrise/sunrise212.jpg,Lever du soleil,300,168,0.2059891364518758,"[138.8017489719251, 108.87442886922824, 84.10003293237622]","[999, 5364, 3009, 12732, 44630, 28964, 6520, 6179, 5346, 4895]"
./Multi-class Weather Dataset/Cloudy/cloudy136.jpg,Nuageux,595,476,0.14583652535276834,"[88.95699786324786, 94.78563792139744, 100.14497028249802]","[2750, 6097, 4101, 13776, 35480, 25169, 7687, 6940, 7419, 9219]"
./Multi-class Weather Dataset/Cloudy/cloudy183.jpg,Nuageux,302,170,0.21089764078717244,"[104.96365206684409, 110.42079424383418, 117.56820380063724]","[213, 1473, 573, 12485, 17275, 35878, 6606, 9100, 32807, 2228]"
./Multi-class Weather Dataset/Rain/rain189.jpg,Pluvieux,290,174,0.17528991854315426,"[79.81526477867547, 73.10806178774929, 64.97198775766407]","[490, 3213, 1659, 10161, 17010, 28616, 5866, 6935, 41021, 3667]"
./Multi-class Weather Dataset/Sunrise/sunrise218.jpg,Lever du soleil,320,213,0.22573314449827772,"[148.16432327226522, 66.9799287341008, 21.90104858108279]","[3183, 7029, 3997, 13851, 26791, 17431, 7557, 9645, 18786, 10368]"
./Multi-class Weather Dataset/Cloudy/cloudy210.jpg,Nuageux,275,172,0.23942564916518974,"[95.89771296796768, 103.41628212635285, 113.43775533950968]","[167, 1328, 475, 10215, 23658, 38966, 5487, 6894, 29498, 1950]"
./Multi-class Weather Dataset/Cloudy/cloudy141.jpg,Nuageux,615,409,0.2662704675089184,"[129.10410404181206, 148.6638562528448, 179.1568924480352]","[4326, 6410, 5517, 15056, 24734, 21083, 9182, 8075, 12996, 11259]"
./Multi-class Weather Dataset/Shine/shine35.jpg,Ensoleillé,284,177,0.27433944749794126,"[137.7415427800852, 170.66847883635512, 205.41113513376828]","[580, 3036, 1961, 12566, 28021, 33647, 8072, 7034, 19897, 3824]"
./Multi-class Weather Dataset/Shine/shine16.jpg,Ensoleillé,283,178,0.199389146351521,"[40.765683706685465, 123.98621765897099, 187.63155875172794]","[282, 2125, 968, 8588, 16863, 36905, 3711, 6169, 40019, 3008]"
./Multi-class Weather Dataset/Cloudy/cloudy252.jpg,Nuageux,236,177,0.1512137612746931,"[96.8038962273892, 106.89279227434507, 142.54258694252684]","[247, 2030, 1371, 12498, 40111, 35587, 8126, 6307, 10005, 2356]"
./Multi-class Weather Dataset/Shine/shine168.jpg,Ensoleillé,253,168,0.18610307379460822,"[95.8622361853917, 117.90931631307001, 147.69858545533472]","[179, 2148, 502, 14650, 16078, 35579, 6209, 12978, 27532, 2783]"
./Multi-class Weather Dataset/Shine/shine174.jpg,Ensoleillé,239,180,0.24823058317645044,"[149.53217850730795, 181.65427840363122, 204.86115704258964]","[395, 1982, 1359, 12658, 21655, 31837, 8636, 7725, 29832, 2559]"
./Multi-class Weather Dataset/Shine/shine211.jpg,Ensoleillé,248,251,0.2042544656352826,"[109.18606604887347, 142.4994831309319, 166.12178499405755]","[706, 3805, 2448, 13303, 33485, 31145, 7397, 6732, 15493, 4124]"
./Multi-class Weather Dataset/Sunrise/sunrise164.jpg,Lever du soleil,300,168,0.20418072345198426,"[123.97457974178805, 76.50293836344595, 78.4375257808944]","[1109, 4097, 2298, 13735, 25120, 35306, 8444, 8732, 14670, 5127]"
./Multi-class Weather Dataset/Rain/rain31.jpg,Pluvieux,852,480,0.09630386607050852,"[29.580334518135, 27.442653808223334, 28.714392205701376]","[8458, 10290, 7441, 11376, 15006, 13190, 9410, 10912, 14702, 17853]"
./Multi-class Weather Dataset/Sunrise/sunrise208.jpg,Lever du soleil,1920,1080,0.20935102885207568,"[211.91894071935215, 179.19116780142113, 129.56665230443662]","[2377, 4875, 3378, 13000, 27341, 31634, 8472, 7921, 11223, 8417]"
./Multi-class Weather Dataset/Rain/rain35.jpg,Pluvieux,299,168,0.06012316187550396,"[146.9730954142012, 156.4072143634944, 161.80346200205668]","[793, 3495, 2774, 14048, 27178, 34900, 9269, 6649, 15175, 4357]"
./Multi-class Weather Dataset/Cloudy/cloudy193.jpg,Nuageux,284,160,0.16473332442406463,"[91.78483864781941, 90.77455447453599, 77.1922022968505]","[218, 1681, 808, 11416, 30846, 37375, 6436, 6685, 21098, 2075]"
./Multi-class Weather Dataset/Cloudy/cloudy299.jpg,Nuageux,267,178,0.13652984021827907,"[131.58601507316374, 130.13432066585958, 140.9351557166022]","[95, 1139, 464, 11961, 25361, 40849, 7742, 8033, 21341, 1653]"
./Multi-class Weather Dataset/Cloudy/cloudy35.jpg,Nuageux,615,409,0.19032451596011038,"[149.77061226957215, 151.2587348831108, 156.04500204930125]","[715, 2882, 1873, 15043, 29873, 34024, 10640, 7143, 11515, 4930]"
./Multi-class Weather Dataset/Cloudy/cloudy177.jpg,Nuageux,199,151,0.17693898340507522,"[98.69489486926616, 98.69489486926616, 98.69489486926616]","[189, 1442, 846, 10934, 32365, 34255, 5297, 6068, 25417, 1825]"
./Multi-class Weather Dataset/Rain/rain69.jpg,Pluvieux,1600,900,0.20907500019818573,"[57.4014073405022, 79.81319766458681, 80.17685693559399]","[9231, 11955, 7158, 10334, 12340, 10637, 8123, 11459, 19390, 18011]"
./Multi-class Weather Dataset/Sunrise/sunrise201.jpg,Lever du soleil,3456,1801,0.1454212149513924,"[211.04200376091555, 175.0441608282654, 158.20678973932257]","[12772, 11623, 6438, 7123, 7640, 7939, 7568, 12272, 18325, 26938]"
./Multi-class Weather Dataset/Cloudy/cloudy50.jpg,Nuageux,273,185,0.19950477600974895,"[79.82489932610125, 93.68527484211425, 112.2502854666085]","[327, 2592, 1459, 10095, 30802, 40270, 6699, 5065, 17632, 3697]"
./Multi-class Weather Dataset/Shine/shine193.jpg,Ensoleillé,275,174,0.19169871301613906,"[127.1180933543637, 157.3598918690681, 188.5999714928501]","[1003, 3990, 3189, 15394, 34025, 30170, 8103, 6603, 11284, 4877]"
./Multi-class Weather Dataset/Sunrise/sunrise27.jpg,Lever du soleil,300,168,0.2067655431811114,"[55.05307505816012, 50.18490327456211, 29.161480360687555]","[410, 2539, 838, 10300, 14511, 30594, 5650, 7907, 42220, 3669]"
./Multi-class Weather Dataset/Sunrise/sunrise275.jpg,Lever du soleil,295,166,0.2274695746428293,"[154.72748606843928, 80.55606574068806, 16.5469376248546]","[428, 3328, 1332, 9046, 24021, 41803, 6218, 5867, 20627, 5968]"
./Multi-class Weather Dataset/Shine/shine84.jpg,Ensoleillé,224,225,0.15408510020499147,"[128.84863045830593, 182.39062216838198, 219.00193169031002]","[188, 2266, 311, 12973, 13051, 36179, 6309, 11531, 32232, 3598]"
./Multi-class Weather Dataset/Sunrise/sunrise272.jpg,Lever du soleil,258,172,0.1276633859196873,"[230.24876212195923, 141.4531275682117, 63.9895904453042]","[191, 1655, 452, 8434, 10833, 35785, 4080, 6877, 47384, 2947]"
./Multi-class Weather Dataset/Sunrise/sunrise315.jpg,Lever du soleil,212,159,0.2610105714138394,"[109.08588623454331, 53.18541816808274, 10.3714639675947]","[191, 1592, 243, 9180, 9931, 40373, 3830, 7837, 42800, 2661]"
./Multi-class Weather Dataset/Sunrise/sunrise297.jpg,Lever du soleil,300,299,0.16935636401431664,"[85.18316880974055, 47.283866151654614, 31.274275790640434]","[285, 2771, 424, 8442, 13293, 41322, 5085, 6803, 35345, 4868]"
./Multi-class Weather Dataset/Rain/rain3.jpg,Pluvieux,274,184,0.11265592466428631,"[125.4455751490353, 124.06722656315851, 128.12287124883048]","[1809, 4873, 5499, 18946, 37724, 24765, 9616, 5379, 4152, 5875]"
./Multi-class Weather Dataset/Shine/shine77.jpg,Ensoleillé,1080,1080,0.18896620787773205,"[104.17592773684443, 161.31759098581398, 213.49398271290607]","[8629, 10552, 4682, 8312, 9962, 13471, 9321, 12646, 18951, 22112]"
./Multi-class Weather Dataset/Shine/shine176.jpg,Ensoleillé,314,177,0.22552983386204933,"[124.56411866481439, 167.15910703674203, 176.04630870931953]","[663, 3479, 1860, 14526, 29371, 31358, 8485, 8588, 16183, 4125]"
./Multi-class Weather Dataset/Shine/shine197.jpg,Ensoleillé,300,172,0.18534590915715116,"[110.10242946900445, 145.29450404671144, 180.59153919775915]","[500, 2264, 1859, 14148, 29640, 30975, 7357, 6519, 22038, 3338]"
./Multi-class Weather Dataset/Shine/shine126.jpg,Ensoleillé,287,175,0.21667790166548861,"[79.23181580996392, 105.27214713824829, 155.1233316172411]","[279, 1609, 780, 15192, 20309, 33287, 8022, 10706, 26278, 2176]"
./Multi-class Weather Dataset/Sunrise/sunrise178.jpg,Lever du soleil,275,183,0.11523922710549483,"[176.2467837099517, 125.38869291458049, 90.58101799170586]","[663, 2966, 2255, 14167, 27651, 30089, 7169, 6545, 23376, 3757]"
./Multi-class Weather Dataset/Sunrise/sunrise311.jpg,Lever du soleil,266,166,0.13721662395933015,"[122.16403793735986, 72.07116284147996, 62.25047008151899]","[206, 1696, 237, 8476, 9529, 37941, 4018, 7290, 45913, 3332]"
./Multi-class Weather Dataset/Cloudy/cloudy171.jpg,Nuageux,220,165,0.13088339018313722,"[155.010942952511, 160.8688632581361, 161.7964654031592]","[184, 1481, 796, 12140, 29225, 36582, 7157, 7523, 21553, 1997]"
./Multi-class Weather Dataset/Sunrise/sunrise331.jpg,Lever du soleil,212,159,0.17634794156567318,"[149.85425767355315, 91.72761954959626, 41.445125316877814]","[177, 2778, 841, 7081, 23059, 32931, 3726, 5519, 38764, 3762]"
./Multi-class Weather Dataset/Rain/rain123.jpg,Pluvieux,680,455,0.23330997155699174,"[87.52052741980857, 81.11620160303823, 75.36417538278208]","[3999, 7246, 6326, 15799, 29015, 19332, 9644, 7800, 8139, 11338]"
./Multi-class Weather Dataset/Cloudy/cloudy163.jpg,Nuageux,264,178,0.2017592430804574,"[119.94155668793937, 127.59737140898153, 137.06958003285203]","[66, 952, 334, 11623, 27236, 44474, 7420, 7911, 17220, 1402]"
./Multi-class Weather Dataset/Rain/rain58.jpg,Pluvieux,320,180,0.09233632833228063,"[21.467697560014496, 27.554728591387246, 47.53075571802458]","[3887, 8643, 8217, 19049, 25591, 16665, 10155, 9418, 7408, 9605]"
./Multi-class Weather Dataset/Shine/shine184.jpg,Ensoleillé,252,168,0.1344098998093315,"[168.07843535850654, 198.21234935792074, 244.3298991403998]","[272, 2136, 895, 13323, 22390, 35894, 8101, 9056, 23202, 3369]"
./Multi-class Weather Dataset/Shine/shine206.jpg,Ensoleillé,287,161,0.13506609750295712,"[142.2947248141405, 173.6988367449721, 202.13583706316695]","[200, 2089, 198, 12433, 7077, 32505, 5485, 11661, 43694, 3296]"
./Multi-class Weather Dataset/Shine/shine242.jpg,Ensoleillé,260,163,0.12403940401226768,"[81.45667930621934, 127.36381115768135, 197.33650912465862]","[396, 2167, 1202, 12417, 19026, 31152, 5473, 8184, 35618, 3003]"
./Multi-class Weather Dataset/Sunrise/sunrise13.jpg,Lever du soleil,480,360,0.17655376510240056,"[137.8777023513756, 109.1331042554346, 92.16055205093436]","[1585, 8929, 3380, 9871, 34358, 26043, 7083, 8996, 9963, 8430]"
./Multi-class Weather Dataset/Cloudy/cloudy248.jpg,Nuageux,267,178,0.19778032211107902,"[116.81257559761627, 128.93120208638885, 133.85695613968542]","[328, 2358, 1614, 11152, 51371, 34735, 6608, 4056, 4174, 2242]"
./Multi-class Weather Dataset/Rain/rain71.jpg,Pluvieux,320,221,0.07981458151183683,"[55.04219140499882, 75.96218281926954, 113.31723301661357]","[2806, 8894, 6507, 16412, 33263, 19353, 9008, 8657, 5588, 8150]"
./Multi-class Weather Dataset/Shine/shine57.jpg,Ensoleillé,259,194,0.25825237599351325,"[111.21954545418626, 134.68961607473997, 154.02373531378015]","[615, 3621, 1942, 11790, 29874, 31908, 6027, 6814, 21671, 4376]"
./Multi-class Weather Dataset/Cloudy/cloudy205.jpg,Nuageux,300,168,0.15040135767487375,"[163.1739514979391, 176.5425175020335, 179.18713491882872]","[234, 1554, 890, 13338, 27321, 37379, 8313, 7974, 19461, 2174]"
./Multi-class Weather Dataset/Shine/shine201.jpg,Ensoleillé,263,164,0.17914660798607437,"[114.73285017369014, 163.1934263789848, 169.66770847162167]","[1135, 4285, 3675, 15536, 40164, 27809, 8252, 5751, 7051, 4980]"
./Multi-class Weather Dataset/Cloudy/cloudy70.jpg,Nuageux,800,540,0.13796497973976235,"[55.54931256216389, 55.54931256216389, 55.54931256216389]","[951, 3537, 1775, 12372, 20159, 32954, 7309, 8283, 25510, 5788]"
./Multi-class Weather Dataset/Rain/rain50.jpg,Pluvieux,852,480,0.07416649530693789,"[80.53621925916443, 80.08741823867564, 81.17277779226512]","[7637, 9938, 9730, 14340, 15417, 13247, 10393, 10687, 10614, 16635]"
./Multi-class Weather Dataset/Sunrise/sunrise150.jpg,Lever du soleil,300,168,0.11389576970550833,"[96.86619649954062, 64.49028715504308, 87.50042224034458]","[558, 2352, 1089, 8786, 9757, 31695, 4130, 6524, 49723, 4024]"
./Multi-class Weather Dataset/Cloudy/cloudy57.jpg,Nuageux,700,421,0.26076394319835816,"[103.82280336901962, 103.82280336901962, 103.82280336901962]","[2006, 4472, 3584, 15667, 22771, 27506, 10394, 8342, 16532, 7364]"
./Multi-class Weather Dataset/Sunrise/sunrise145.jpg,Lever du soleil,344,147,0.14078338108002517,"[148.92415201600667, 119.86011168164922, 94.19170235163902]","[605, 2945, 1650, 14254, 25854, 33002, 8538, 7876, 19864, 4050]"
./Multi-class Weather Dataset/Rain/rain13.jpg,Pluvieux,1024,626,0.19144311962529972,"[109.70215609274642, 111.09960367883815, 112.64346968957037]","[16687, 13044, 6080, 5656, 5497, 6066, 6612, 13127, 18174, 27695]"
./Multi-class Weather Dataset/Shine/shine101.jpg,Ensoleillé,284,177,0.19930270978638776,"[86.35903095840919, 120.37443440076115, 145.07043616927123]","[980, 3712, 2884, 15600, 27946, 30253, 7689, 8330, 16924, 4320]"
./Multi-class Weather Dataset/Sunrise/sunrise87.jpg,Lever du soleil,2272,1704,0.15534492383285872,"[164.20592935547631, 124.94926652532283, 79.69483817105396]","[7998, 10373, 4776, 9442, 15795, 12976, 7736, 11715, 16518, 21309]"
./Multi-class Weather Dataset/Cloudy/cloudy264.jpg,Nuageux,268,168,0.2056688770227963,"[105.55446920200527, 106.87939677843524, 102.98961935414876]","[326, 2497, 1310, 12122, 30981, 37181, 7180, 7690, 16545, 2806]"
./Multi-class Weather Dataset/Sunrise/sunrise221.jpg,Lever du soleil,213,320,0.17874045699354305,"[115.11163782499072, 95.80718811505378, 71.24090872812674]","[413, 5067, 810, 8051, 22112, 40367, 5713, 8215, 20895, 6995]"
./Multi-class Weather Dataset/Sunrise/sunrise53.jpg,Lever du soleil,275,183,0.18181505350185853,"[154.0543103679892, 121.89598215790893, 107.5940660546684]","[374, 3988, 804, 9536, 17353, 37751, 5085, 8845, 29150, 5752]"
./Multi-class Weather Dataset/Rain/rain139.jpg,Pluvieux,480,360,0.05363601692999639,"[116.43809226912963, 121.4252555568199, 113.02652534653737]","[1389, 4791, 2619, 15072, 24172, 27553, 11770, 8216, 13739, 9317]"
./Multi-class Weather Dataset/Cloudy/cloudy207.jpg,Nuageux,300,134,0.11853885503038342,"[95.89814999199245, 98.39196626502469, 100.46965243008142]","[160, 1408, 716, 12829, 26632, 37387, 7284, 7677, 22623, 1922]"
./Multi-class Weather Dataset/Sunrise/sunrise33.jpg,Lever du soleil,1000,667,0.19699687615848038,"[191.83756584499696, 125.96899154360322, 84.69133503151393]","[4213, 6715, 4194, 12500, 23936, 23852, 8720, 9080, 12595, 12833]"
./Multi-class Weather Dataset/Sunrise/sunrise268.jpg,Lever du soleil,329,166,0.13322085606558834,"[210.85346100111263, 167.00336317200222, 135.54255991045238]","[260, 1862, 468, 8510, 9089, 31046, 4156, 6693, 53000, 3554]"
./Multi-class Weather Dataset/Cloudy/cloudy125.jpg,Nuageux,852,480,0.1622694416466638,"[135.7190940745166, 154.2913357624665, 186.89220069665706]","[819, 2678, 2222, 14005, 23265, 34439, 9739, 5493, 21524, 4454]"
./Multi-class Weather Dataset/Shine/shine123.jpg,Ensoleillé,240,180,0.19224561052399872,"[115.6083733974359, 140.65056062085927, 179.0226289413489]","[254, 1708, 933, 13642, 20644, 32767, 6082, 8898, 31264, 2446]"
./Multi-class Weather Dataset/Sunrise/sunrise259.jpg,Lever du soleil,244,153,0.22387452150260023,"[113.03459302141809, 90.67413581651748, 61.80520835308881]","[677, 3375, 2567, 13417, 40976, 32007, 7085, 5944, 9002, 3588]"
./Multi-class Weather Dataset/Sunrise/sunrise66.jpg,Lever du soleil,500,400,0.12540218624681834,"[154.92572728462844, 83.68542745315582, 20.710526882459668]","[1521, 6589, 866, 10178, 13699, 24620, 7402, 10828, 31035, 11900]"
./Multi-class Weather Dataset/Sunrise/sunrise86.jpg,Lever du soleil,276,183,0.20675061339910167,"[210.3538258847292, 173.81091165983918, 159.47664698757987]","[133, 1802, 227, 9928, 14484, 49853, 6643, 8511, 23909, 3148]"
./Multi-class Weather Dataset/Sunrise/sunrise180.jpg,Lever du soleil,660,430,0.103830513528162,"[120.06101758210902, 88.61404045289031, 42.90089587126384]","[2288, 4311, 2737, 10140, 11710, 27600, 6890, 7345, 37431, 8186]"
./Multi-class Weather Dataset/Sunrise/sunrise277.jpg,Lever du soleil,221,282,0.1875938417696808,"[197.87624894110655, 139.54390324980193, 76.06293145956607]","[335, 3731, 575, 9492, 16368, 37723, 6068, 8853, 29602, 5891]"
./Multi-class Weather Dataset/Cloudy/cloudy122.jpg,Nuageux,852,480,0.10211056363361468,"[86.50004254012205, 113.84924126465593, 134.95058661906387]","[372, 1683, 1180, 11150, 16898, 35932, 8336, 4473, 35619, 2995]"
./Multi-class Weather Dataset/Cloudy/cloudy167.jpg,Nuageux,222,167,0.18621400490918166,"[87.5030597279118, 108.2862422084408, 127.3695749161841]","[169, 1383, 692, 11508, 28925, 36781, 6292, 7008, 23807, 2073]"
./Multi-class Weather Dataset/Cloudy/cloudy106.jpg,Nuageux,300,168,0.14714724337797286,"[123.40405635209629, 131.3246680882706, 151.3048635871306]","[634, 2470, 2483, 15210, 40867, 32260, 7831, 5150, 8547, 3186]"
./Multi-class Weather Dataset/Rain/rain87.jpg,Pluvieux,852,480,0.1787296167242215,"[115.89586652253072, 119.79859056541748, 129.02294664230686]","[6918, 8220, 4888, 9519, 11938, 18172, 8659, 11098, 24311, 14915]"
./Multi-class Weather Dataset/Cloudy/cloudy24.jpg,Nuageux,284,177,0.205021378860201,"[121.28846677366232, 150.17471195200946, 181.13159918459937]","[435, 1865, 1672, 11821, 27551, 28554, 6720, 5081, 32369, 2570]"
./Multi-class Weather Dataset/Rain/rain102.jpg,Pluvieux,183,275,0.10007769012681782,"[106.25920670969673, 140.25435252617206, 143.3354435472825]","[1233, 5299, 4741, 16943, 43890, 23819, 8694, 6066, 3680, 4273]"
./Multi-class Weather Dataset/Sunrise/sunrise328.jpg,Lever du soleil,315,197,0.15316943874957278,"[97.13229997713633, 46.91748121781175, 17.730824941207707]","[484, 3752, 1430, 10841, 23097, 35457, 6985, 7477, 24262, 4853]"
./Multi-class Weather Dataset/Sunrise/sunrise225.jpg,Lever du soleil,240,160,0.12465815108167065,"[131.21287014515795, 43.46413670156274, 7.33039378455891]","[236, 1579, 158, 7620, 2883, 23577, 1418, 7437, 70615, 3115]"
