Picture Path,Label,width,height,Luminance,RGB,LBP,HSV
./Multi-class Weather Dataset/Cloudy/cloudy117.jpg,Nuageux,400,269,0.20977034355849702,"[76.95977219040273, 111.66154394039009, 131.26081862472395]","[1099, 2907, 3614, 16361, 33124, 24550, 7135, 5013, 20899, 3936]","[100.30548390903421, 124.85798816568047]"
./Multi-class Weather Dataset/Cloudy/cloudy118.jpg,Nuageux,259,194,0.19180672816973643,"[113.10742869063876, 159.20900659990897, 174.06423354289942]","[249, 1490, 1131, 12213, 38701, 39698, 8587, 5273, 9205, 2091]","[96.86118275763246, 96.16154183313947]"
./Multi-class Weather Dataset/Cloudy/cloudy119.jpg,Nuageux,490,326,0.15909680369437962,"[69.17671337914496, 97.19789401372242, 122.2036856603702]","[711, 2406, 1467, 14578, 13891, 29915, 6759, 10123, 34898, 3890]","[103.46966401995988, 118.48743235725485]"
./Multi-class Weather Dataset/Cloudy/cloudy12.jpg,Nuageux,300,168,0.1371970611768059,"[100.95840102875975, 104.11584781541328, 126.93629903177101]","[309, 1622, 1536, 13546, 39401, 35773, 7891, 5113, 11157, 2290]","[117.28451255078474, 57.27593182622768]"
./Multi-class Weather Dataset/Cloudy/cloudy120.jpg,Nuageux,318,159,0.12305182202612065,"[57.61999327128534, 108.64213596455183, 135.56336528978912]","[379, 2045, 1687, 11707, 31173, 30517, 6944, 4579, 26753, 2854]","[99.81277499620695, 153.69719651376457]"
./Multi-class Weather Dataset/Cloudy/cloudy121.jpg,Nuageux,211,239,0.2525775163616664,"[95.7439052385197, 131.82099485409395, 169.33397528748168]","[645, 3204, 2901, 14250, 40211, 27597, 7152, 4592, 14602, 3484]","[105.4360913029552, 131.90910163691228]"
./Multi-class Weather Dataset/Cloudy/cloudy122.jpg,Nuageux,852,480,0.10211056363361468,"[86.50004254012205, 113.84924126465593, 134.95058661906387]","[372, 1683, 1180, 11150, 16898, 35932, 8336, 4473, 35619, 2995]","[103.02767241524639, 96.55963519277128]"
./Multi-class Weather Dataset/Cloudy/cloudy123.jpg,Nuageux,852,480,0.18635080337572757,"[111.2572179589908, 135.65514843473423, 180.7668830286249]","[527, 2170, 1688, 12565, 24428, 36325, 8986, 4775, 23510, 3664]","[109.35474299971341, 105.81987221632193]"
./Multi-class Weather Dataset/Cloudy/cloudy124.jpg,Nuageux,299,168,0.11254376875867693,"[90.22289193281242, 124.91569871426103, 162.76081325782002]","[332, 2075, 1304, 13727, 35559, 36510, 8923, 6087, 10905, 3216]","[104.466191270925, 115.44741145332861]"
./Multi-class Weather Dataset/Cloudy/cloudy125.jpg,Nuageux,852,480,0.1622694416466638,"[135.7190940745166, 154.2913357624665, 186.89220069665706]","[819, 2678, 2222, 14005, 23265, 34439, 9739, 5493, 21524, 4454]","[114.26532814106778, 74.76964379035385]"
./Multi-class Weather Dataset/Cloudy/cloudy126.jpg,Nuageux,852,480,0.11735181015115956,"[144.05728060360087, 176.36529611085825, 226.41208715009103]","[772, 2706, 1861, 11029, 14627, 31797, 8314, 5107, 37826, 4599]","[108.00667576998939, 94.02412380518889]"
./Multi-class Weather Dataset/Cloudy/cloudy127.jpg,Nuageux,640,360,0.14465764305711226,"[125.56713779522582, 165.3591591385138, 225.31975022626602]","[1278, 3889, 3276, 14432, 29100, 29667, 9862, 5857, 15264, 6013]","[107.96893069674135, 114.95171867361216]"
./Multi-class Weather Dataset/Cloudy/cloudy128.jpg,Nuageux,259,194,0.18756918221398475,"[114.70315166989076, 146.6805745208112, 205.33305155441343]","[479, 2212, 2162, 14658, 41661, 31289, 7396, 4619, 10988, 3174]","[110.24019285557748, 118.23997370151217]"
./Multi-class Weather Dataset/Cloudy/cloudy129.jpg,Nuageux,1024,576,0.1456967791172078,"[155.40296871444014, 168.3537789325511, 180.98500401431244]","[3880, 6548, 5328, 13960, 15648, 19746, 9602, 9420, 22100, 12406]","[74.22702675365397, 45.41945245199683]"
./Multi-class Weather Dataset/Cloudy/cloudy13.jpg,Nuageux,306,165,0.21792241440269755,"[121.99958776909591, 131.19755593169978, 140.6735676490669]","[233, 1555, 1292, 12641, 45117, 37033, 8089, 4189, 6443, 2046]","[105.15045769483639, 43.2493214652978]"
./Multi-class Weather Dataset/Cloudy/cloudy130.jpg,Nuageux,728,410,0.15101783836564633,"[178.5090067184418, 186.81832035793758, 201.69897259678604]","[2202, 4889, 4372, 16240, 27277, 26176, 11060, 7506, 9782, 9134]","[94.26266457627405, 32.0386469765168]"
./Multi-class Weather Dataset/Cloudy/cloudy131.jpg,Nuageux,600,300,0.1489989481352671,"[150.85098669376592, 166.16299767991705, 183.51901582966673]","[1481, 4602, 2554, 14890, 22745, 27076, 10401, 8010, 18054, 8825]","[91.26105463679428, 54.10285911765202]"
./Multi-class Weather Dataset/Cloudy/cloudy132.jpg,Nuageux,720,400,0.13368488893646224,"[162.23835526717832, 187.80340461240286, 203.39807050913282]","[2429, 5514, 3920, 14167, 21644, 24993, 9493, 8249, 18141, 10088]","[93.01647869991065, 55.70240563731688]"
./Multi-class Weather Dataset/Cloudy/cloudy133.jpg,Nuageux,259,194,0.10185878887311754,"[135.64953103137276, 142.6475641104663, 150.62807052757125]","[321, 1976, 1230, 11562, 25277, 31724, 6556, 5783, 31266, 2943]","[80.82272964817344, 34.41060199935939]"
./Multi-class Weather Dataset/Cloudy/cloudy134.jpg,Nuageux,800,600,0.1368094570985491,"[150.84609783938325, 153.67285391669407, 155.81000969071883]","[5181, 7773, 5681, 13990, 21584, 18641, 9772, 9410, 11580, 15026]","[91.49925824777895, 55.956750788111734]"
./Multi-class Weather Dataset/Cloudy/cloudy135.jpg,Nuageux,1600,706,0.12795672043898662,"[171.32934816021216, 177.07438390576797, 200.1270039953472]","[2260, 5272, 3732, 14491, 20727, 27565, 11314, 9031, 14711, 9535]","[123.98529981961934, 40.899644296094]"
./Multi-class Weather Dataset/Cloudy/cloudy136.jpg,Nuageux,595,476,0.14583652535276834,"[88.95699786324786, 94.78563792139744, 100.14497028249802]","[2750, 6097, 4101, 13776, 35480, 25169, 7687, 6940, 7419, 9219]","[100.85474299971341, 39.4775114212984]"
./Multi-class Weather Dataset/Cloudy/cloudy137.jpg,Nuageux,1000,667,0.19624399516153426,"[46.959114366023115, 54.57225693259116, 66.15613927056467]","[5379, 7656, 6990, 14667, 20480, 17790, 10530, 8904, 11297, 14945]","[102.70264164938722, 107.93659704310592]"
./Multi-class Weather Dataset/Cloudy/cloudy138.jpg,Nuageux,275,183,0.16170362095337396,"[65.35904284461976, 71.08762807474207, 78.82104878653972]","[326, 2228, 1390, 10146, 30798, 32662, 4933, 5437, 28107, 2611]","[107.63255449350125, 51.1097540417067]"
./Multi-class Weather Dataset/Cloudy/cloudy139.jpg,Nuageux,183,275,0.15685077892598348,"[68.34659156162023, 68.18951594740935, 69.71975555365903]","[79, 1714, 330, 8883, 16284, 45066, 5132, 7482, 30464, 3204]","[99.08609383165596, 26.461369881488224]"
./Multi-class Weather Dataset/Cloudy/cloudy14.jpg,Nuageux,2000,2000,0.21502514355184296,"[113.27633118314748, 123.76037280951297, 135.2279070576038]","[4508, 6160, 6531, 15406, 28073, 20706, 8979, 7549, 8887, 11839]","[103.10017869485326, 51.911950639761294]"
./Multi-class Weather Dataset/Cloudy/cloudy140.jpg,Nuageux,1000,750,0.21045714957666764,"[83.46334773375732, 89.31617468291147, 88.90279789543612]","[5792, 8728, 4506, 10954, 15912, 16149, 9785, 11229, 16537, 19046]","[82.42604393196109, 36.74873143512197]"
./Multi-class Weather Dataset/Cloudy/cloudy141.jpg,Nuageux,615,409,0.2662704675089184,"[129.10410404181206, 148.6638562528448, 179.1568924480352]","[4326, 6410, 5517, 15056, 24734, 21083, 9182, 8075, 12996, 11259]","[103.04253274667475, 77.35273689711559]"
./Multi-class Weather Dataset/Cloudy/cloudy142.jpg,Nuageux,520,362,0.20717288164264755,"[107.85121579142012, 113.18016070946913, 138.52069869977367]","[2293, 4985, 5377, 17271, 37582, 23803, 8691, 5801, 5790, 7045]","[111.29504037492204, 83.22595627033496]"
./Multi-class Weather Dataset/Cloudy/cloudy143.jpg,Nuageux,284,177,0.25242444775580286,"[87.22035928096395, 99.7183392836823, 126.83550090401052]","[533, 2461, 2287, 13981, 41547, 34110, 7273, 4971, 8160, 3315]","[109.53362329101974, 105.69281343245841]"
./Multi-class Weather Dataset/Cloudy/cloudy144.jpg,Nuageux,259,194,0.24103674453660753,"[110.70613375878723, 114.20361187367243, 131.46446790209504]","[1103, 3554, 3454, 16068, 40467, 27250, 7435, 5611, 9618, 4078]","[113.95185353765235, 53.41673831318802]"
./Multi-class Weather Dataset/Cloudy/cloudy145.jpg,Nuageux,300,168,0.18366637873388753,"[125.55660012627699, 151.85526842948718, 174.16572186109215]","[745, 3222, 2975, 15284, 41410, 29346, 7587, 4865, 9355, 3849]","[101.08164331832971, 81.10332271279017]"
./Multi-class Weather Dataset/Cloudy/cloudy146.jpg,Nuageux,800,377,0.1903069763556249,"[133.36938839157773, 145.10622021532942, 168.69428007889547]","[1314, 3819, 2962, 15665, 32156, 29125, 10206, 6877, 9940, 6574]","[109.98722163219205, 57.693647903707074]"
./Multi-class Weather Dataset/Cloudy/cloudy147.jpg,Nuageux,800,533,0.20782161578671968,"[118.12693554262758, 128.04388981607917, 148.1826554308063]","[1353, 3392, 3257, 14847, 36054, 31851, 8706, 5475, 7851, 5852]","[110.45562973077766, 58.12683962979821]"
./Multi-class Weather Dataset/Cloudy/cloudy148.jpg,Nuageux,900,600,0.15628675720969568,"[104.7025204824761, 125.47247291919537, 158.70701998937946]","[1471, 3624, 3749, 16482, 32877, 29039, 10904, 6181, 7754, 6557]","[108.85479357372849, 88.5272593941233]"
./Multi-class Weather Dataset/Cloudy/cloudy149.jpg,Nuageux,759,462,0.17620081585406172,"[126.18542152651342, 133.56064532311527, 147.05297111143773]","[856, 2829, 1977, 14650, 33226, 33188, 9560, 6924, 10290, 5138]","[106.80695055547126, 40.96971459397495]"
./Multi-class Weather Dataset/Cloudy/cloudy15.jpg,Nuageux,852,480,0.2062489156388045,"[137.4408017324761, 153.52932496069977, 166.7727210018607]","[502, 1741, 1690, 13748, 30607, 38106, 8911, 4166, 16400, 2767]","[102.2733778384666, 55.88990879819282]"
./Multi-class Weather Dataset/Cloudy/cloudy150.jpg,Nuageux,1920,1080,0.14925009415081747,"[123.4233857011455, 131.43468365953572, 151.28561516967582]","[10282, 9380, 7729, 11910, 14781, 12593, 8462, 10129, 13416, 19956]","[109.74213152615519, 48.94146900655777]"
./Multi-class Weather Dataset/Cloudy/cloudy151.jpg,Nuageux,1920,1280,0.2779020750195122,"[101.24029189635698, 128.57293984642357, 166.27221032284135]","[4102, 5759, 5727, 15973, 24531, 20258, 9560, 8382, 11615, 12731]","[106.52130851834994, 123.25087240175998]"
./Multi-class Weather Dataset/Cloudy/cloudy152.jpg,Nuageux,1920,1080,0.1527615459782511,"[162.56932064347006, 175.86138090504306, 178.61281538298226]","[1939, 4804, 3142, 15068, 16166, 26491, 11508, 8363, 22793, 8364]","[93.52292688683221, 23.715420017195164]"
./Multi-class Weather Dataset/Cloudy/cloudy153.jpg,Nuageux,1280,720,0.1964320610493822,"[142.56680952508893, 159.42803870808677, 161.96405926010215]","[3139, 5777, 4250, 13625, 16239, 22793, 10837, 9991, 20090, 11897]","[91.30913366712183, 33.30920109914193]"
./Multi-class Weather Dataset/Cloudy/cloudy154.jpg,Nuageux,291,169,0.11347085564444796,"[148.48247505015257, 161.36754270343397, 166.56337134813467]","[150, 1317, 397, 11998, 24699, 43285, 8973, 8410, 17311, 2098]","[98.45056390026804, 28.83834858982788]"
./Multi-class Weather Dataset/Cloudy/cloudy155.jpg,Nuageux,1920,1080,0.17429957836444726,"[178.93631842506196, 179.13715040712083, 188.53038010060015]","[4485, 7783, 4018, 11518, 9985, 18669, 10757, 10940, 24728, 15755]","[116.40601662199295, 14.47091151233163]"
./Multi-class Weather Dataset/Cloudy/cloudy156.jpg,Nuageux,299,168,0.08110794316146755,"[151.06383033366205, 155.3110640404002, 160.04832768590165]","[71, 1170, 525, 11336, 27491, 45373, 8103, 6984, 15846, 1739]","[103.97351607410779, 15.070230448928674]"
./Multi-class Weather Dataset/Cloudy/cloudy157.jpg,Nuageux,282,179,0.16196178185838775,"[183.65959637984878, 186.49819882752575, 187.90087776207875]","[254, 1927, 1101, 12784, 30491, 37396, 8388, 7039, 16644, 2614]","[64.58918727557781, 12.62917446349399]"
./Multi-class Weather Dataset/Cloudy/cloudy158.jpg,Nuageux,468,351,0.20117591625836012,"[115.49507110785541, 123.89427429712656, 129.4395651056154]","[245, 1688, 710, 13801, 23630, 37555, 9248, 8979, 20170, 2612]","[101.39696387329523, 31.099984827795478]"
./Multi-class Weather Dataset/Cloudy/cloudy159.jpg,Nuageux,243,162,0.07704848642234703,"[157.5171345816686, 157.71529266023535, 158.92211861792808]","[74, 1021, 276, 6390, 8077, 32413, 2831, 5319, 60425, 1812]","[91.22263524334531, 7.406168344038167]"
./Multi-class Weather Dataset/Cloudy/cloudy16.jpg,Nuageux,299,168,0.19835939366337849,"[118.18913417286198, 128.6670570348455, 146.58188881302786]","[546, 2266, 2010, 13772, 36954, 33195, 7791, 5595, 13782, 2727]","[104.72051956371483, 55.98626915490821]"
./Multi-class Weather Dataset/Cloudy/cloudy160.jpg,Nuageux,303,160,0.15667220517901756,"[114.93892423801817, 115.82139154402468, 119.11489388939462]","[204, 1300, 849, 13149, 32678, 38465, 7686, 7045, 15608, 1654]","[100.31728451255078, 11.391459734655001]"
./Multi-class Weather Dataset/Cloudy/cloudy161.jpg,Nuageux,231,154,0.11457911716785396,"[140.1605430621934, 146.50906954085116, 149.96339537737697]","[66, 1031, 295, 12461, 27255, 42921, 9079, 8889, 15216, 1425]","[98.44590266187899, 18.44121613648241]"
./Multi-class Weather Dataset/Cloudy/cloudy162.jpg,Nuageux,281,187,0.1395476599909805,"[73.17523277217249, 78.56127565445937, 95.66416621624184]","[219, 1536, 1024, 13075, 35514, 37237, 7877, 6625, 13394, 2137]","[112.93818169557815, 66.9836983091421]"
./Multi-class Weather Dataset/Cloudy/cloudy163.jpg,Nuageux,264,178,0.2017592430804574,"[119.94155668793937, 127.59737140898153, 137.06958003285203]","[66, 952, 334, 11623, 27236, 44474, 7420, 7911, 17220, 1402]","[106.19015829666718, 39.167163977814866]"
./Multi-class Weather Dataset/Cloudy/cloudy164.jpg,Nuageux,205,300,0.08815152686571133,"[125.94390722723747, 139.13703421200415, 139.39063843372276]","[179, 2005, 589, 9172, 17635, 45891, 6164, 6806, 27171, 3026]","[90.17201908326169, 26.83703366543603]"
./Multi-class Weather Dataset/Cloudy/cloudy165.jpg,Nuageux,242,161,0.18820878293847643,"[137.4467595226656, 142.79181377910112, 150.96603819892235]","[254, 1730, 957, 10235, 41658, 41936, 6577, 4684, 8223, 2384]","[87.99554105767123, 33.64907533842445]"
./Multi-class Weather Dataset/Cloudy/cloudy166.jpg,Nuageux,256,169,0.13736224408661268,"[94.13984268320436, 75.99357176610782, 51.83371994797198]","[198, 1721, 728, 12291, 25350, 38543, 7321, 8199, 21837, 2450]","[18.089279994605437, 116.56261905966048]"
./Multi-class Weather Dataset/Cloudy/cloudy167.jpg,Nuageux,222,167,0.18621400490918166,"[87.5030597279118, 108.2862422084408, 127.3695749161841]","[169, 1383, 692, 11508, 28925, 36781, 6292, 7008, 23807, 2073]","[98.99657782498019, 92.24246025725316]"
./Multi-class Weather Dataset/Cloudy/cloudy168.jpg,Nuageux,226,170,0.18828642524086311,"[113.63466339041875, 118.45443432700736, 124.50081060005016]","[82, 1272, 327, 9855, 26432, 43498, 5877, 7051, 22287, 1957]","[93.70797720797721, 35.039784891855895]"
./Multi-class Weather Dataset/Cloudy/cloudy169.jpg,Nuageux,206,155,0.21255176571073922,"[113.28843111503059, 112.02344461197087, 120.38347480228721]","[332, 1651, 1633, 12740, 48960, 34839, 7081, 3999, 5488, 1915]","[114.88015644228662, 32.91909000488882]"
./Multi-class Weather Dataset/Cloudy/cloudy17.jpg,Nuageux,299,168,0.18467728893407087,"[135.35339699337482, 144.67275905749, 152.81593929643117]","[460, 1947, 1905, 13649, 39629, 35250, 7529, 5031, 10855, 2383]","[101.9090426338947, 32.84518451086498]"
./Multi-class Weather Dataset/Cloudy/cloudy170.jpg,Nuageux,245,155,0.20228940884965796,"[45.09438049597304, 66.48559529566833, 105.95985898278798]","[300, 1877, 1214, 13377, 31586, 36362, 8117, 7077, 16049, 2679]","[109.84019454137797, 169.9306124513225]"
./Multi-class Weather Dataset/Cloudy/cloudy171.jpg,Nuageux,220,165,0.13088339018313722,"[155.010942952511, 160.8688632581361, 161.7964654031592]","[184, 1481, 796, 12140, 29225, 36582, 7157, 7523, 21553, 1997]","[81.50995465196648, 19.299533033260843]"
./Multi-class Weather Dataset/Cloudy/cloudy172.jpg,Nuageux,231,154,0.21333855998619067,"[99.05006922976828, 106.35540948357608, 125.0705972422411]","[312, 1865, 1533, 13943, 42748, 33163, 7318, 5471, 9904, 2381]","[99.77121158482105, 80.11422141303798]"
./Multi-class Weather Dataset/Cloudy/cloudy173.jpg,Nuageux,229,152,0.06426270443737218,"[160.47713817453092, 180.97490745218647, 183.0485599444318]","[106, 1389, 334, 10603, 18467, 47553, 6984, 8285, 22612, 2305]","[91.31677877240007, 32.28851632697786]"
./Multi-class Weather Dataset/Cloudy/cloudy174.jpg,Nuageux,225,178,0.14639458124614435,"[123.85710121072084, 140.87957793613765, 143.26044926319983]","[84, 1094, 475, 11566, 19686, 37854, 6942, 8552, 30919, 1466]","[91.72316627050355, 35.1008530150542]"
./Multi-class Weather Dataset/Cloudy/cloudy175.jpg,Nuageux,238,158,0.14558675239081809,"[168.19608954866905, 180.16544933431953, 187.08049710569125]","[94, 1252, 269, 12208, 24738, 40323, 8324, 9199, 20335, 1896]","[90.01668099597093, 25.877897469613448]"
./Multi-class Weather Dataset/Cloudy/cloudy176.jpg,Nuageux,207,156,0.21132624052264073,"[96.8680642479644, 90.00449496314418, 103.80564080042862]","[55, 817, 244, 9738, 28345, 43278, 6120, 6695, 22225, 1121]","[138.03027697702254, 48.947959338491884]"
./Multi-class Weather Dataset/Cloudy/cloudy177.jpg,Nuageux,199,151,0.17693898340507522,"[98.69489486926616, 98.69489486926616, 98.69489486926616]","[189, 1442, 846, 10934, 32365, 34255, 5297, 6068, 25417, 1825]","[0.0, 0.0]"
./Multi-class Weather Dataset/Cloudy/cloudy178.jpg,Nuageux,236,177,0.1923364471451035,"[120.99469581968889, 126.10607593451297, 131.58632826328832]","[232, 1559, 1215, 13082, 43023, 35965, 8213, 5115, 8110, 2124]","[83.97405553026854, 36.78196699202616]"
./Multi-class Weather Dataset/Cloudy/cloudy179.jpg,Nuageux,285,153,0.21732918125257644,"[120.93148860662266, 130.1634952544716, 139.58743394427796]","[193, 1394, 1137, 12423, 45415, 37179, 8021, 4497, 6455, 1924]","[106.04179942345623, 43.381201638598085]"
./Multi-class Weather Dataset/Cloudy/cloudy18.jpg,Nuageux,852,480,0.22838826471496051,"[113.53518884653315, 119.28699624198191, 128.45779983674075]","[558, 1910, 1897, 13425, 27241, 40015, 9489, 4052, 17221, 2830]","[103.77624369932062, 39.795562973077764]"
./Multi-class Weather Dataset/Cloudy/cloudy180.jpg,Nuageux,261,175,0.21362278974095877,"[134.98457749361503, 144.87269631410257, 155.96701217674774]","[594, 2434, 2110, 15537, 36396, 32087, 8488, 6330, 11491, 3171]","[79.78200913703873, 49.48253510679546]"
./Multi-class Weather Dataset/Cloudy/cloudy181.jpg,Nuageux,342,171,0.1574941025450524,"[78.42481270493012, 80.41626405009356, 81.57347890747484]","[75, 660, 245, 7227, 11814, 33572, 3346, 5293, 55548, 858]","[83.409244929955, 23.270941856740674]"
./Multi-class Weather Dataset/Cloudy/cloudy182.jpg,Nuageux,287,192,0.17942975125525423,"[123.13750673003169, 127.47437645795402, 136.1125220471097]","[303, 2007, 995, 12124, 25039, 34167, 7286, 7130, 26581, 3006]","[80.37656568721657, 50.09367993391662]"
./Multi-class Weather Dataset/Cloudy/cloudy183.jpg,Nuageux,302,170,0.21089764078717244,"[104.96365206684409, 110.42079424383418, 117.56820380063724]","[213, 1473, 573, 12485, 17275, 35878, 6606, 9100, 32807, 2228]","[95.58193833341763, 39.210902071848814]"
./Multi-class Weather Dataset/Cloudy/cloudy184.jpg,Nuageux,256,166,0.08695204913290844,"[145.5549519599538, 146.91226251285423, 155.18656596115915]","[198, 1693, 770, 12695, 26287, 40053, 9035, 8167, 17259, 2481]","[117.47894435172542, 18.391889613783103]"
./Multi-class Weather Dataset/Cloudy/cloudy185.jpg,Nuageux,276,173,0.09449625932542642,"[83.3683850768725, 96.52445918729666, 101.55379534276538]","[204, 1493, 546, 11892, 22686, 41954, 8173, 8654, 20904, 2132]","[96.55033800300072, 51.10983833173182]"
./Multi-class Weather Dataset/Cloudy/cloudy186.jpg,Nuageux,267,178,0.1335835630970607,"[94.72419299544623, 100.88056788297173, 102.81123881049916]","[319, 1854, 1494, 12993, 43785, 35693, 7723, 4608, 7801, 2368]","[94.61958225863552, 22.890026804227986]"
./Multi-class Weather Dataset/Cloudy/cloudy187.jpg,Nuageux,208,167,0.17980875928340673,"[93.82865727833831, 107.19961721792343, 102.51763505369274]","[170, 1446, 814, 12067, 31035, 39151, 7956, 6998, 16835, 2166]","[79.14153981017887, 36.56339452789157]"
./Multi-class Weather Dataset/Cloudy/cloudy188.jpg,Nuageux,241,161,0.20689143813717192,"[155.32358361149042, 162.44010653732363, 169.88123749478456]","[201, 1473, 773, 12147, 34752, 39496, 8967, 7225, 11777, 1827]","[102.60344914782785, 28.088251656298993]"
./Multi-class Weather Dataset/Cloudy/cloudy189.jpg,Nuageux,255,170,0.10347450522382085,"[76.33143292252483, 86.5897936698718, 62.557611277320504]","[698, 3222, 2236, 12897, 30547, 39815, 8247, 6487, 10520, 3969]","[61.599420084627184, 119.9304691582798]"
./Multi-class Weather Dataset/Cloudy/cloudy19.jpg,Nuageux,800,600,0.2139184742449882,"[140.02435454913265, 148.5272435897436, 165.8692606395084]","[782, 2691, 2006, 13187, 23903, 34752, 9347, 6203, 21069, 4698]","[110.18493231510983, 47.25374669161651]"
